@RELATION train_agent_It2.arff
   @ATTRIBUTE food_pos_x NUMERIC
   @ATTRIBUTE food_pos_y NUMERIC
   @ATTRIBUTE snake_pos_x NUMERIC
   @ATTRIBUTE snake_pos_y NUMERIC
   @ATTRIBUTE body_length NUMERIC
   @ATTRIBUTE move_RIGHT {True, False}
   @ATTRIBUTE move_LEFT {True, False}
   @ATTRIBUTE move_UP {True, False}
   @ATTRIBUTE move_DOWN {True, False}
   @ATTRIBUTE current_score NUMERIC
   @ATTRIBUTE current_direction {RIGHT, LEFT, UP, DOWN}
   @ATTRIBUTE distance_to_crash NUMERIC
   @ATTRIBUTE relative_head_apple_x {RIGHT, LEFT, SAME}
   @ATTRIBUTE relative_head_apple_y {UP, DOWN, SAME}
   @ATTRIBUTE next_score NUMERIC
   @ATTRIBUTE expected_direction {0, 1, 2, 3}

@data
10, 400, 10, 60, 3, True, True, False, True, -10, LEFT, 10, SAME, DOWN, -11, 1
10, 400, 10, 70, 3, False, True, True, True, -11, DOWN, 400, SAME, DOWN, -12, 1
10, 400, 10, 80, 3, False, True, True, True, -12, DOWN, 390, SAME, DOWN, -13, 1
10, 400, 10, 90, 3, False, True, True, True, -13, DOWN, 380, SAME, DOWN, -14, 1
10, 400, 10, 100, 3, False, True, True, True, -14, DOWN, 370, SAME, DOWN, -15, 1
10, 400, 10, 110, 3, False, True, True, True, -15, DOWN, 360, SAME, DOWN, -16, 1
10, 400, 10, 120, 3, False, True, True, True, -16, DOWN, 350, SAME, DOWN, -17, 1
10, 400, 10, 130, 3, False, True, True, True, -17, DOWN, 340, SAME, DOWN, -18, 1
10, 400, 10, 140, 3, False, True, True, True, -18, DOWN, 330, SAME, DOWN, -19, 1
10, 400, 10, 150, 3, False, True, True, True, -19, DOWN, 320, SAME, DOWN, -20, 1
10, 400, 10, 160, 3, False, True, True, True, -20, DOWN, 310, SAME, DOWN, -21, 1
10, 400, 10, 170, 3, False, True, True, True, -21, DOWN, 300, SAME, DOWN, -22, 1
10, 400, 10, 180, 3, False, True, True, True, -22, DOWN, 290, SAME, DOWN, -23, 1
10, 400, 10, 190, 3, False, True, True, True, -23, DOWN, 280, SAME, DOWN, -24, 1
10, 400, 10, 200, 3, False, True, True, True, -24, DOWN, 270, SAME, DOWN, -25, 1
10, 400, 10, 210, 3, False, True, True, True, -25, DOWN, 260, SAME, DOWN, -26, 1
10, 400, 10, 220, 3, False, True, True, True, -26, DOWN, 250, SAME, DOWN, -27, 1
10, 400, 10, 230, 3, False, True, True, True, -27, DOWN, 240, SAME, DOWN, -28, 1
10, 400, 10, 240, 3, False, True, True, True, -28, DOWN, 230, SAME, DOWN, -29, 1
10, 400, 10, 250, 3, False, True, True, True, -29, DOWN, 220, SAME, DOWN, -30, 1
10, 400, 10, 260, 3, False, True, True, True, -30, DOWN, 210, SAME, DOWN, -31, 1
10, 400, 10, 270, 3, False, True, True, True, -31, DOWN, 200, SAME, DOWN, -32, 1
10, 400, 10, 280, 3, False, True, True, True, -32, DOWN, 190, SAME, DOWN, -33, 1
10, 400, 10, 290, 3, False, True, True, True, -33, DOWN, 180, SAME, DOWN, -34, 1
10, 400, 10, 300, 3, False, True, True, True, -34, DOWN, 170, SAME, DOWN, -35, 1
10, 400, 10, 310, 3, False, True, True, True, -35, DOWN, 160, SAME, DOWN, -36, 1
10, 400, 10, 320, 3, False, True, True, True, -36, DOWN, 150, SAME, DOWN, -37, 1
10, 400, 10, 330, 3, False, True, True, True, -37, DOWN, 140, SAME, DOWN, -38, 1
10, 400, 10, 340, 3, False, True, True, True, -38, DOWN, 130, SAME, DOWN, -39, 1
10, 400, 10, 350, 3, False, True, True, True, -39, DOWN, 120, SAME, DOWN, -40, 1
10, 400, 10, 360, 3, False, True, True, True, -40, DOWN, 110, SAME, DOWN, -41, 1
10, 400, 10, 370, 3, False, True, True, True, -41, DOWN, 100, SAME, DOWN, -42, 1
10, 400, 10, 380, 3, False, True, True, True, -42, DOWN, 90, SAME, DOWN, -43, 1
10, 400, 10, 390, 3, False, True, True, True, -43, DOWN, 80, SAME, DOWN, 57, 1
60, 450, 10, 400, 4, False, True, True, True, 57, DOWN, 70, RIGHT, DOWN, 56, 2
60, 450, 20, 400, 4, True, True, True, False, 56, RIGHT, 450, RIGHT, DOWN, 55, 2
60, 450, 30, 400, 4, True, True, True, False, 55, RIGHT, 440, RIGHT, DOWN, 54, 2
60, 450, 40, 400, 4, True, True, True, False, 54, RIGHT, 430, RIGHT, DOWN, 53, 2
60, 450, 50, 400, 4, True, True, True, False, 53, RIGHT, 420, RIGHT, DOWN, 52, 2
60, 450, 60, 400, 4, True, True, True, False, 52, RIGHT, 410, SAME, DOWN, 51, 1
60, 450, 60, 410, 4, False, True, True, True, 51, DOWN, 60, SAME, DOWN, 50, 1
60, 450, 60, 420, 4, False, True, True, True, 50, DOWN, 50, SAME, DOWN, 49, 1
60, 450, 60, 430, 4, False, True, True, True, 49, DOWN, 40, SAME, DOWN, 48, 1
60, 450, 60, 440, 4, False, True, True, True, 48, DOWN, 30, SAME, DOWN, 148, 1
310, 80, 60, 450, 5, False, True, True, True, 148, DOWN, 20, RIGHT, UP, 147, 2
310, 80, 70, 450, 5, True, True, True, False, 147, RIGHT, 400, RIGHT, UP, 146, 2
310, 80, 80, 450, 5, True, True, True, False, 146, RIGHT, 390, RIGHT, UP, 145, 2
310, 80, 90, 450, 5, True, True, True, False, 145, RIGHT, 380, RIGHT, UP, 144, 2
310, 80, 100, 450, 5, True, True, True, False, 144, RIGHT, 370, RIGHT, UP, 143, 2
310, 80, 110, 450, 5, True, True, True, False, 143, RIGHT, 360, RIGHT, UP, 142, 2
310, 80, 120, 450, 5, True, True, True, False, 142, RIGHT, 350, RIGHT, UP, 141, 2
310, 80, 130, 450, 5, True, True, True, False, 141, RIGHT, 340, RIGHT, UP, 140, 2
310, 80, 140, 450, 5, True, True, True, False, 140, RIGHT, 330, RIGHT, UP, 139, 2
310, 80, 150, 450, 5, True, True, True, False, 139, RIGHT, 320, RIGHT, UP, 138, 2
310, 80, 160, 450, 5, True, True, True, False, 138, RIGHT, 310, RIGHT, UP, 137, 2
310, 80, 170, 450, 5, True, True, True, False, 137, RIGHT, 300, RIGHT, UP, 136, 2
310, 80, 180, 450, 5, True, True, True, False, 136, RIGHT, 290, RIGHT, UP, 135, 2
310, 80, 190, 450, 5, True, True, True, False, 135, RIGHT, 280, RIGHT, UP, 134, 2
310, 80, 200, 450, 5, True, True, True, False, 134, RIGHT, 270, RIGHT, UP, 133, 2
310, 80, 210, 450, 5, True, True, True, False, 133, RIGHT, 260, RIGHT, UP, 132, 2
310, 80, 220, 450, 5, True, True, True, False, 132, RIGHT, 250, RIGHT, UP, 131, 2
310, 80, 230, 450, 5, True, True, True, False, 131, RIGHT, 240, RIGHT, UP, 130, 2
310, 80, 240, 450, 5, True, True, True, False, 130, RIGHT, 230, RIGHT, UP, 129, 2
310, 80, 250, 450, 5, True, True, True, False, 129, RIGHT, 220, RIGHT, UP, 128, 2
310, 80, 260, 450, 5, True, True, True, False, 128, RIGHT, 210, RIGHT, UP, 127, 2
310, 80, 270, 450, 5, True, True, True, False, 127, RIGHT, 200, RIGHT, UP, 126, 2
310, 80, 280, 450, 5, True, True, True, False, 126, RIGHT, 190, RIGHT, UP, 125, 2
310, 80, 290, 450, 5, True, True, True, False, 125, RIGHT, 180, RIGHT, UP, 124, 2
310, 80, 300, 450, 5, True, True, True, False, 124, RIGHT, 170, RIGHT, UP, 123, 2
310, 80, 310, 450, 5, True, True, True, False, 123, RIGHT, 160, SAME, UP, 122, 0
310, 80, 310, 440, 5, True, False, True, True, 122, UP, 440, SAME, UP, 121, 0
310, 80, 310, 430, 5, True, False, True, True, 121, UP, 430, SAME, UP, 120, 0
310, 80, 310, 420, 5, True, False, True, True, 120, UP, 420, SAME, UP, 119, 0
310, 80, 310, 410, 5, True, False, True, True, 119, UP, 410, SAME, UP, 118, 0
310, 80, 310, 400, 5, True, False, True, True, 118, UP, 400, SAME, UP, 117, 0
310, 80, 310, 390, 5, True, False, True, True, 117, UP, 390, SAME, UP, 116, 0
310, 80, 310, 380, 5, True, False, True, True, 116, UP, 380, SAME, UP, 115, 0
310, 80, 310, 370, 5, True, False, True, True, 115, UP, 370, SAME, UP, 114, 0
310, 80, 310, 360, 5, True, False, True, True, 114, UP, 360, SAME, UP, 113, 0
310, 80, 310, 350, 5, True, False, True, True, 113, UP, 350, SAME, UP, 112, 0
310, 80, 310, 340, 5, True, False, True, True, 112, UP, 340, SAME, UP, 111, 0
310, 80, 310, 330, 5, True, False, True, True, 111, UP, 330, SAME, UP, 110, 0
310, 80, 310, 320, 5, True, False, True, True, 110, UP, 320, SAME, UP, 109, 0
310, 80, 310, 310, 5, True, False, True, True, 109, UP, 310, SAME, UP, 108, 0
310, 80, 310, 300, 5, True, False, True, True, 108, UP, 300, SAME, UP, 107, 0
310, 80, 310, 290, 5, True, False, True, True, 107, UP, 290, SAME, UP, 106, 0
310, 80, 310, 280, 5, True, False, True, True, 106, UP, 280, SAME, UP, 105, 0
310, 80, 310, 270, 5, True, False, True, True, 105, UP, 270, SAME, UP, 104, 0
310, 80, 310, 260, 5, True, False, True, True, 104, UP, 260, SAME, UP, 103, 0
310, 80, 310, 250, 5, True, False, True, True, 103, UP, 250, SAME, UP, 102, 0
310, 80, 310, 240, 5, True, False, True, True, 102, UP, 240, SAME, UP, 101, 0
310, 80, 310, 230, 5, True, False, True, True, 101, UP, 230, SAME, UP, 100, 0
310, 80, 310, 220, 5, True, False, True, True, 100, UP, 220, SAME, UP, 99, 0
310, 80, 310, 210, 5, True, False, True, True, 99, UP, 210, SAME, UP, 98, 0
310, 80, 310, 200, 5, True, False, True, True, 98, UP, 200, SAME, UP, 97, 0
310, 80, 310, 190, 5, True, False, True, True, 97, UP, 190, SAME, UP, 96, 0
310, 80, 310, 180, 5, True, False, True, True, 96, UP, 180, SAME, UP, 95, 0
310, 80, 310, 170, 5, True, False, True, True, 95, UP, 170, SAME, UP, 94, 0
310, 80, 310, 160, 5, True, False, True, True, 94, UP, 160, SAME, UP, 93, 0
310, 80, 310, 150, 5, True, False, True, True, 93, UP, 150, SAME, UP, 92, 0
310, 80, 310, 140, 5, True, False, True, True, 92, UP, 140, SAME, UP, 91, 0
310, 80, 310, 130, 5, True, False, True, True, 91, UP, 130, SAME, UP, 90, 0
310, 80, 310, 120, 5, True, False, True, True, 90, UP, 120, SAME, UP, 89, 0
310, 80, 310, 110, 5, True, False, True, True, 89, UP, 110, SAME, UP, 88, 0
310, 80, 310, 100, 5, True, False, True, True, 88, UP, 100, SAME, UP, 87, 0
310, 80, 310, 90, 5, True, False, True, True, 87, UP, 90, SAME, UP, 187, 0
410, 110, 310, 80, 6, True, False, True, True, 187, UP, 80, RIGHT, DOWN, 186, 2
410, 110, 320, 80, 6, True, True, True, False, 186, RIGHT, 150, RIGHT, DOWN, 185, 2
410, 110, 330, 80, 6, True, True, True, False, 185, RIGHT, 140, RIGHT, DOWN, 184, 2
410, 110, 340, 80, 6, True, True, True, False, 184, RIGHT, 130, RIGHT, DOWN, 183, 2
410, 110, 350, 80, 6, True, True, True, False, 183, RIGHT, 120, RIGHT, DOWN, 182, 2
410, 110, 360, 80, 6, True, True, True, False, 182, RIGHT, 110, RIGHT, DOWN, 181, 2
410, 110, 370, 80, 6, True, True, True, False, 181, RIGHT, 100, RIGHT, DOWN, 180, 2
410, 110, 380, 80, 6, True, True, True, False, 180, RIGHT, 90, RIGHT, DOWN, 179, 2
410, 110, 390, 80, 6, True, True, True, False, 179, RIGHT, 80, RIGHT, DOWN, 178, 2
410, 110, 400, 80, 6, True, True, True, False, 178, RIGHT, 70, RIGHT, DOWN, 177, 2
410, 110, 410, 80, 6, True, True, True, False, 177, RIGHT, 60, SAME, DOWN, 176, 1
410, 110, 410, 90, 6, False, True, True, True, 176, DOWN, 380, SAME, DOWN, 175, 1
410, 110, 410, 100, 6, False, True, True, True, 175, DOWN, 370, SAME, DOWN, 275, 1
340, 240, 410, 110, 7, False, True, True, True, 275, DOWN, 360, LEFT, DOWN, 274, 3
340, 240, 400, 110, 7, True, True, False, True, 274, LEFT, 400, LEFT, DOWN, 273, 3
340, 240, 390, 110, 7, True, True, False, True, 273, LEFT, 390, LEFT, DOWN, 272, 3
340, 240, 380, 110, 7, True, True, False, True, 272, LEFT, 380, LEFT, DOWN, 271, 3
340, 240, 370, 110, 7, True, True, False, True, 271, LEFT, 370, LEFT, DOWN, 270, 3
